id,query
0,港口关闭后，已预订但未装运的货物该如何处理？
6,塑料颗粒货物申报有哪些具体要求？是否会影响装箱和运输安排？
9,未提供经核实的集装箱毛重证明，会影响货物装船吗？
7,夏季高温下运输锂电池货物，有哪些特殊的包装和温控要求？
2,COSCO NAGOYA轮是否还在中远海运运营？该船是否涉及过堆垛倒塌事故？
4,COSCO航运宣布的滞期费和堆存费冻结政策具体适用于哪些货物类型？
3,Vancouver港口罢工持续，我的货物预计何时能安排靠泊？
8,韩进海运破产后，我已订舱但未装船的货物何时能安排出运？
1,Ashdod和Haifa港口目前对危险品运输有何具体限制？
5,如何在中远海运官网提交欧盟ICS2舱单申报数据？
0,What happens to my cargo currently en route to Baltimore now that the port is closed?
6,Why is accurate申报 of plastic pellets important for marine safety and compliance?
9,What are the two acceptable methods for verifying container gross weight under SOLAS regulations?
7,What specific packaging standards must be followed for shipping lithium batteries under the new safety guidelines?
2,Is the COSCO NAGOYA still operated by COSCO Shipping?
4,How will the suspension of dry cargo and empty container stacks affect my shipment schedule?
3,How will the ongoing ILWU strike in Vancouver affect my container delivery schedule to Seattle and inland destinations?
8,What actions is COSCO taking for cargo already loaded on Hanjin Shipping vessels?
1,How are the current security checks and labor shortages affecting container turnaround times at Ashdod port?
5,What specific details are required for ENS submission under the new EU ICS2 rules?
